scenario,frame_idx,frame_name,ego_cav,com_range_m,bandwidth_mbps,all_cavs,in_range_cavs,selected_cavs,n_selected,fusion_method,reason,llm_response_time_s
2021_08_22_07_24_12,0,000070,3314,45.0,54.56,3314|3323|3332|3341,3314|3323|3332|3341,3314|3332,2,intermediate,Nearest CAV provides complementary view within bandwidth limits; intermediate fusion offers higher accuracy than late while staying on the ~40 Mb/s budget.,80.24
2021_08_22_07_24_12,50,000170,3314,45.0,53.99,3314|3323|3332|3341,3314|3323|3332|3341,3314|3332|3341|3323,4,late,Bandwidth constraints preclude early/intermediate fusion; late fusion with all in‑range CAVs maximises diverse coverage at negligible cost.,48.54
2021_08_22_07_24_12,100,000270,3314,45.0,52.4,3314|3323|3332|3341,3314|3332|3341,3314|3332|3341,3,late,Late fusion keeps bandwidth usage far below 52.4 Mbps while preserving the complementary NE coverage of the two nearby CAVs.,37.12
2021_08_22_07_24_12,150,000370,3314,45.0,56.75,3314|3323|3332|3341,3314|3332|3341,3314|3332|3341,3,late,Maintain complementary northern coverage under ample bandwidth while keeping latency low with late fusion.,31.41
2021_08_22_10_10_40,50,000169,7655,45.0,54.95,7655|7664|7673,7655|7664|7673,7655|7673|7664,3,late,Late fusion meets bandwidth limits while maximizing directional coverage.,33.27
2021_08_22_10_46_58,0,000069,3643,45.0,54.85,3643|3652|3661,3643|3652|3661,3643|3652|3661,3,late,"Complementary directional coverage, bandwidth constrains to late fusion.",27.39
2021_08_22_10_46_58,50,000169,3661,45.0,55.95,3643|3652|3661,3643|3652|3661,3661|3643,2,intermediate,Use high‑fidelity intermediate data from the closest CAV while staying under bandwidth limits and avoiding redundant coverage.,50.82
2021_08_22_10_46_58,100,000269,3661,45.0,55.91,3643|3652|3661,3643|3652|3661,3661|3643|3652,3,late,Late fusion offers sufficient bounding‑box detail within the 55.9 Mbps bandwidth; including both north‑ward CAVs provides redundant coverage and continuity with the prior decision.,57.0
2021_08_22_22_30_58,50,000169,1241,45.0,5.71,1241|1250|1259,1241|1250|1259,1241|1259|1250,3,late,Late fusion with both neighboring CAVs gives complementary spatial coverage while staying well below bandwidth limits.,41.02
2021_08_23_11_22_46,50,000169,6712,45.0,53.19,6712|6721|6730,6712|6721|6730,6712|6721,2,intermediate,Intermediate fusion with the closer CAV gives good accuracy while staying within 53.2 Mbps.,62.23
2021_08_23_11_22_46,100,000269,6712,45.0,57.5,6712|6721|6730,6712|6721|6730,6712|6721,2,intermediate,Maintains high accuracy within bandwidth limits; previous selection effective and scene unchanged.,73.62
2021_08_23_11_22_46,150,000369,6712,45.0,55.33,6712|6721|6730,6712|6721|6730,6712|6721|6730,3,late,Bandwidth too tight for intermediate fusion with two vehicles; late fusion keeps both directions covered with minimal bandwidth.,65.65
2021_08_23_17_07_55,50,000169,407,45.0,21.94,407|416|425,407|416|425,407|425|416,3,late,Diverse coverage within tight bandwidth constraints.,24.29
2021_08_23_22_31_01,0,000070,939,45.0,5.66,939|948|957|966,939|948|957,939|957|948,3,late,Late fusion chosen due to bandwidth constraint; both CAVs provide complementary directional coverage.,27.15
2021_08_23_22_31_01,50,000170,939,45.0,5.46,939|948|957|966,939|948|957|966,939|948|957|966,4,late,Late fusion is the only strategy that fits the bandwidth budget; adding 966 gives extra directional coverage while staying well below the 5.5 Mbps limit.,40.39
2021_08_23_23_08_17,50,000169,47,45.0,5.74,47|56|65,47|56|65,47|65|56,3,late,"Bandwidth too limited for raw or feature data, but both off‑ego CAVs provide complementary coverage, so late fusion is chosen.",27.42
2021_08_24_21_29_28,0,000069,4796,45.0,5.28,4796|4805|4814,4796|4805|4814,4796,1,late,Low‑bandwidth late fusion from two complementary viewpoints within comm range.,33.64
2021_08_24_21_29_28,50,000169,4814,45.0,5.74,4796|4805|4814,4796|4805|4814,4814|4796,2,late,Continuity and bandwidth sufficiency with complementary viewpoint; 5.7 Mbps easily supports late fusion from a single additional CAV.,31.41
2021_08_24_21_29_28,100,000269,4814,45.0,5.69,4796|4805|4814,4796|4805|4814,4814|4796,2,late,"Late fusion satisfies strict bandwidth limits, and 4805 adds little new coverage, so continuity is preserved.",31.65
2021_09_09_13_20_58,100,000270,1244,45.0,21.95,1244|1252|1260|1268,1244|1252|1260,1244|1260|1252,3,late,Both in‑range CAVs provide complementary coverage and late fusion fits the bandwidth limit.,36.36
2021_09_09_13_20_58,150,000370,1260,45.0,21.97,1244|1252|1260|1268,1244|1252|1260,1260|1244|1252,3,late,Complementary coverage with sufficient bandwidth for late fusion.,20.81
2021_09_09_23_21_21,200,000471,6889,45.0,5.17,6853|6862|6871|6880|6889,6853|6862|6871|6889,6889|6871|6853,3,late,Diverse direction coverage with 2 SW and E vehicles while staying well within 5.2 Mbps using late fusion.,47.5
2021_09_09_23_21_21,250,000571,6862,45.0,5.51,6853|6862|6871|6880|6889,6853|6862|6871|6889,6862|6871|6889|6853,4,late,Reuse the prior effective late-fusion subset of all three eastward CAVs to preserve accuracy while staying within 5.5 Mbps.,50.29
2021_09_09_23_21_21,300,000671,6862,45.0,5.36,6853|6862|6871|6880|6889,6853|6862|6871|6889,6862|6871|6889|6853,4,late,Maintain established low‑bandwidth late‑fusion subset for consistent accuracy.,22.68
2021_09_09_23_21_21,350,000771,6853,45.0,5.37,6853|6862|6871|6880|6889,6853|6862|6871|6889,6853|6862|6871|6889,4,late,Maintain previous low‑bandwidth late‑fusion subset for consistency and unchanged scene.,54.84
2021_09_09_23_21_21,400,000871,6853,45.0,5.25,6853|6862|6871|6880|6889,6853|6871|6889,6853|6889|6871,3,late,"Late fusion fits bandwidth limits; both forward vehicles provide redundant, early obstacle detection and maintain continuity.",66.83
2021_09_09_23_21_21,450,000971,6889,45.0,5.41,6853|6862|6871|6880|6889,6853|6862|6871|6889,6889|6853|6871|6862,4,late,Late fusion under bandwidth limit; all in‑range CAVs give complementary directional coverage while staying well below the 5.4 Mbps budget.,70.26
2021_09_10_12_07_11,200,000471,225,45.0,22.36,207|216|225|234|243,207|225|234,225|207|234,3,late,"Complementary directions, bandwidth limit favors late fusion.",23.67
