scenario,frame_idx,frame_name,ego_cav,com_range_m,bandwidth_mbps,all_cavs,in_range_cavs,selected_cavs,n_selected,fusion_method,reason,llm_response_time_s
2021_08_22_06_43_37,150,000370,3152,45.0,54.67,3152|3161|3170|3179,3152|3161|3170|3179,3152|3161|3179|3170,4,intermediate,"Rule-based: bandwidth=54.7 Mbps (tier=high), fusion=intermediate, selected 3 nearest non-ego CAV(s) out of 3 in range.",0.0
2021_08_22_07_24_12,0,000070,3314,45.0,54.56,3314|3323|3332|3341,3314|3323|3332|3341,3314|3332|3341|3323,4,intermediate,"Rule-based: bandwidth=54.6 Mbps (tier=high), fusion=intermediate, selected 3 nearest non-ego CAV(s) out of 3 in range.",0.0
2021_08_22_07_24_12,50,000170,3314,45.0,53.99,3314|3323|3332|3341,3314|3323|3332|3341,3314|3332|3341|3323,4,intermediate,"Rule-based: bandwidth=54.0 Mbps (tier=high), fusion=intermediate, selected 3 nearest non-ego CAV(s) out of 3 in range.",0.0
2021_08_22_07_24_12,100,000270,3314,45.0,52.4,3314|3323|3332|3341,3314|3332|3341,3314|3332|3341,3,intermediate,"Rule-based: bandwidth=52.4 Mbps (tier=high), fusion=intermediate, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_22_07_24_12,150,000370,3314,45.0,56.75,3314|3323|3332|3341,3314|3332|3341,3314|3332|3341,3,intermediate,"Rule-based: bandwidth=56.8 Mbps (tier=high), fusion=intermediate, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_22_10_10_40,50,000169,7655,45.0,54.95,7655|7664|7673,7655|7664|7673,7655|7673|7664,3,intermediate,"Rule-based: bandwidth=55.0 Mbps (tier=high), fusion=intermediate, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_22_10_46_58,0,000069,3643,45.0,54.85,3643|3652|3661,3643|3652|3661,3643|3652|3661,3,intermediate,"Rule-based: bandwidth=54.8 Mbps (tier=high), fusion=intermediate, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_22_10_46_58,50,000169,3661,45.0,55.95,3643|3652|3661,3643|3652|3661,3661|3643|3652,3,intermediate,"Rule-based: bandwidth=55.9 Mbps (tier=high), fusion=intermediate, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_22_10_46_58,100,000269,3661,45.0,55.91,3643|3652|3661,3643|3652|3661,3661|3643|3652,3,intermediate,"Rule-based: bandwidth=55.9 Mbps (tier=high), fusion=intermediate, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_22_22_30_58,50,000169,1241,45.0,5.71,1241|1250|1259,1241|1250|1259,1241|1259|1250,3,late,"Rule-based: bandwidth=5.7 Mbps (tier=low), fusion=late, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_23_11_22_46,50,000169,6712,45.0,53.19,6712|6721|6730,6712|6721|6730,6712|6721|6730,3,intermediate,"Rule-based: bandwidth=53.2 Mbps (tier=high), fusion=intermediate, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_23_11_22_46,100,000269,6712,45.0,57.5,6712|6721|6730,6712|6721|6730,6712|6721|6730,3,intermediate,"Rule-based: bandwidth=57.5 Mbps (tier=high), fusion=intermediate, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_23_11_22_46,150,000369,6712,45.0,55.33,6712|6721|6730,6712|6721|6730,6712|6721|6730,3,intermediate,"Rule-based: bandwidth=55.3 Mbps (tier=high), fusion=intermediate, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_23_17_07_55,50,000169,407,45.0,21.94,407|416|425,407|416|425,407|425|416,3,intermediate,"Rule-based: bandwidth=21.9 Mbps (tier=medium), fusion=intermediate, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_23_22_31_01,0,000070,939,45.0,5.66,939|948|957|966,939|948|957,939|957|948,3,late,"Rule-based: bandwidth=5.7 Mbps (tier=low), fusion=late, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_23_22_31_01,50,000170,939,45.0,5.46,939|948|957|966,939|948|957|966,939|948|957|966,4,late,"Rule-based: bandwidth=5.5 Mbps (tier=low), fusion=late, selected 3 nearest non-ego CAV(s) out of 3 in range.",0.0
2021_08_23_23_08_17,50,000169,47,45.0,5.74,47|56|65,47|56|65,47|65|56,3,late,"Rule-based: bandwidth=5.7 Mbps (tier=low), fusion=late, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_24_21_29_28,0,000069,4796,45.0,5.28,4796|4805|4814,4796|4805|4814,4796|4805|4814,3,late,"Rule-based: bandwidth=5.3 Mbps (tier=low), fusion=late, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_24_21_29_28,50,000169,4814,45.0,5.74,4796|4805|4814,4796|4805|4814,4814|4796|4805,3,late,"Rule-based: bandwidth=5.7 Mbps (tier=low), fusion=late, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_08_24_21_29_28,100,000269,4814,45.0,5.69,4796|4805|4814,4796|4805|4814,4814|4796|4805,3,late,"Rule-based: bandwidth=5.7 Mbps (tier=low), fusion=late, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_09_09_13_20_58,100,000270,1244,45.0,21.95,1244|1252|1260|1268,1244|1252|1260,1244|1260|1252,3,intermediate,"Rule-based: bandwidth=21.9 Mbps (tier=medium), fusion=intermediate, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_09_09_13_20_58,150,000370,1260,45.0,21.97,1244|1252|1260|1268,1244|1252|1260,1260|1244|1252,3,intermediate,"Rule-based: bandwidth=22.0 Mbps (tier=medium), fusion=intermediate, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_09_09_23_21_21,200,000471,6889,45.0,5.17,6853|6862|6871|6880|6889,6853|6862|6871|6889,6889|6871|6853|6862,4,late,"Rule-based: bandwidth=5.2 Mbps (tier=low), fusion=late, selected 3 nearest non-ego CAV(s) out of 3 in range.",0.0
2021_09_09_23_21_21,250,000571,6862,45.0,5.51,6853|6862|6871|6880|6889,6853|6862|6871|6889,6862|6871|6889|6853,4,late,"Rule-based: bandwidth=5.5 Mbps (tier=low), fusion=late, selected 3 nearest non-ego CAV(s) out of 3 in range.",0.0
2021_09_09_23_21_21,300,000671,6862,45.0,5.36,6853|6862|6871|6880|6889,6853|6862|6871|6889,6862|6871|6889|6853,4,late,"Rule-based: bandwidth=5.4 Mbps (tier=low), fusion=late, selected 3 nearest non-ego CAV(s) out of 3 in range.",0.0
2021_09_09_23_21_21,350,000771,6853,45.0,5.37,6853|6862|6871|6880|6889,6853|6862|6871|6889,6853|6889|6871|6862,4,late,"Rule-based: bandwidth=5.4 Mbps (tier=low), fusion=late, selected 3 nearest non-ego CAV(s) out of 3 in range.",0.0
2021_09_09_23_21_21,400,000871,6853,45.0,5.25,6853|6862|6871|6880|6889,6853|6871|6889,6853|6889|6871,3,late,"Rule-based: bandwidth=5.2 Mbps (tier=low), fusion=late, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
2021_09_09_23_21_21,450,000971,6889,45.0,5.41,6853|6862|6871|6880|6889,6853|6862|6871|6889,6889|6853|6871|6862,4,late,"Rule-based: bandwidth=5.4 Mbps (tier=low), fusion=late, selected 3 nearest non-ego CAV(s) out of 3 in range.",0.0
2021_09_10_12_07_11,200,000471,225,45.0,22.36,207|216|225|234|243,207|225|234,225|207|234,3,intermediate,"Rule-based: bandwidth=22.4 Mbps (tier=medium), fusion=intermediate, selected 2 nearest non-ego CAV(s) out of 2 in range.",0.0
